Loan_per_100k,STNAME
12080273.2,ALABAMA
19031517.6,ALASKA
4649067.09,ARIZONA
24617.0029,ARKANSAS
16711809.9,CALIFORNIA
17978641.3,COLORADO
17448010.9,CONNECTICUT
306157246.0,DELAWARE
6378313.52,FLORIDA
155203.081,GEORGIA
32750118.4,HAWAII
13186176.0,IDAHO
16717501.9,ILLINOIS
14209022.6,INDIANA
14474775.0,IOWA
17515318.5,KANSAS
15524216.9,KENTUCKY
28067663.9,LOUISIANA
72723343.1,MAINE
3481276.65,MARYLAND
21831088.3,MASSACHUSETTS
10934222.0,MICHIGAN
16204753.2,MINNESOTA
156502.82,MISSISSIPPI
5227620.02,MISSOURI
16202838.8,MONTANA
59126650.2,NEBRASKA
9834044.78,NEVADA
17716134.3,NEW HAMPSHIRE
18256792.0,NEW JERSEY
10270856.7,NEW MEXICO
2028219.16,NEW YORK
35601328.7,NORTH CAROLINA
232655254.0,NORTH DAKOTA
4599506.66,OHIO
16338564.6,OKLAHOMA
73128382.4,OREGON
16234414.2,PENNSYLVANIA
16098932.5,RHODE ISLAND
3516768.3,SOUTH CAROLINA
18392545.3,SOUTH DAKOTA
12637802.6,TENNESSEE
16030709.9,TEXAS
21185086.4,UTAH
172369505.0,VERMONT
70630.4633,VIRGINIA
11721124.5,WASHINGTON
40657387.3,WEST VIRGINIA
1731763.28,WISCONSIN
11667949.9,WYOMING
